SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.2303583323955536,60,0,0.4812217354774475,"(4500.0, 5000.0]",10,0,1,0,0.0
0,0.00798596628010273,44,0,0.03314033895730972,"(6864.0, 7500.0]",6,0,0,0,0.0
0,0.12115399539470673,47,1,0.4073498547077179,"(2550.0, 3000.0]",8,0,1,0,2.0
0,0.15164470672607422,62,0,0.38094815611839294,"(3833.0, 4126.0]",11,5,5,0,1.0
0,0.0776776596903801,63,0,0.32740816473960876,nan,3,0,0,0,0.0
0,0.23911850154399872,58,0,0.37024831771850586,"(11600.0, 14250.0]",11,1,2,0,0.0
0,0.3357817232608795,41,0,0.2964533865451813,"(5827.5, 6250.0]",8,0,1,2,0.0
0,0.11208993941545486,34,0,0.41807353496551514,"(5827.5, 6250.0]",8,0,1,0,2.0
0,0.2694735527038574,39,0,0.2286597341299057,"(5827.5, 6250.0]",8,0,1,0,0.0
1,0.9571152329444885,56,6,0.520547091960907,"(2550.0, 3000.0]",10,2,0,2,0.0
0,0.04243965819478035,62,0,0.34470024704933167,"(3833.0, 4126.0]",10,0,1,0,0.0
0,0.8791671991348267,46,1,0.49117013812065125,"(3833.0, 4126.0]",7,0,2,0,4.0
0,0.1868610978126526,52,0,0.3429686725139618,nan,6,0,0,0,0.0
0,0.2973468005657196,47,0,0.3183739185333252,"(6250.0, 6864.0]",6,0,0,0,0.0
0,0.028545256704092026,67,0,0.2550760507583618,"(2083.0, 2550.0]",7,0,1,0,1.0
0,0.08298692107200623,60,1,0.30290135741233826,"(10016.0, 11600.0]",17,0,2,0,0.0
0,0.9999997615814209,47,0,0.37965500354766846,"(6250.0, 6864.0]",5,0,0,1,3.0
0,0.6165235638618469,52,4,0.3450598120689392,"(6864.0, 7500.0]",13,0,1,1,0.0
0,0.06133114919066429,34,0,0.015373965725302696,"(1288.0, 2083.0]",2,0,0,0,0.0
0,0.007853451184928417,55,0,0.2167101949453354,"(4500.0, 5000.0]",4,0,2,0,0.0
0,0.1001560240983963,58,0,0.43093085289001465,"(3000.0, 3454.5]",7,0,1,0,2.0
0,0.7496393918991089,52,0,0.8116896748542786,"(4500.0, 5000.0]",9,0,2,0,0.0
0,0.12535247206687927,44,0,0.3337661325931549,"(9020.0, 10016.0]",14,0,3,0,1.0
0,0.004421412944793701,63,0,0.18050149083137512,"(14250.0, 208333.0]",8,0,1,0,0.0
0,0.047261275351047516,50,0,0.19920995831489563,"(4500.0, 5000.0]",6,0,0,0,0.0
0,0.9788045883178711,53,0,0.8228964805603027,"(4500.0, 5000.0]",9,0,3,0,0.0
0,0.4908103048801422,34,5,0.43492740392684937,"(7500.0, 8167.5]",12,0,12,0,4.0
1,0.5679688453674316,47,3,0.43364161252975464,"(3833.0, 4126.0]",10,0,3,0,0.0
0,0.03401624783873558,59,1,0.1422235071659088,"(5333.0, 5827.5]",7,1,0,1,0.0
0,0.12988528609275818,65,1,0.08131904900074005,"(5000.0, 5333.0]",7,0,0,0,1.0
0,0.008112370036542416,69,0,985.5345458984375,nan,8,0,1,0,0.0
0,0.0035712975077331066,68,1,0.48058021068573,nan,10,0,1,0,1.0
0,0.8223724961280823,40,2,0.25095734000205994,"(6864.0, 7500.0]",7,2,0,0,1.0
0,0.9984531998634338,40,1,0.3583294153213501,"(4126.0, 4500.0]",4,2,0,0,0.0
0,0.16181109845638275,41,0,0.44783806800842285,"(2550.0, 3000.0]",9,0,0,0,0.0
0,0.04923360049724579,34,1,0.2267201840877533,"(5000.0, 5333.0]",6,0,0,0,5.0
0,0.0003537615993991494,60,1,0.5333943367004395,"(2550.0, 3000.0]",6,5,1,0,2.0
0,0.18685612082481384,49,0,0.2261507660150528,"(10016.0, 11600.0]",6,0,0,0,0.0
0,0.20355048775672913,46,1,0.40900471806526184,"(3000.0, 3454.5]",10,0,2,0,0.0
0,0.9999999403953552,44,4,0.30336567759513855,"(6864.0, 7500.0]",7,0,2,0,1.0
0,0.08667390793561935,67,0,0.5868351459503174,nan,9,0,0,0,0.0
0,0.1020616665482521,41,0,1663.1119384765625,nan,6,0,2,0,2.0
0,0.45220068097114563,46,0,0.40195101499557495,"(3454.5, 3833.0]",8,0,1,0,4.0
0,0.0400988794863224,42,0,0.20192059874534607,"(7500.0, 8167.5]",5,0,0,0,1.0
1,0.14858421683311462,32,0,0.3883773982524872,"(3833.0, 4126.0]",6,0,0,1,0.0
0,0.6164146065711975,53,0,0.47205689549446106,"(4126.0, 4500.0]",9,0,4,0,0.0
0,0.2752510905265808,66,0,0.06652569025754929,"(3454.5, 3833.0]",5,1,0,0,0.0
1,0.25205671787261963,46,0,0.31580495834350586,"(5333.0, 5827.5]",9,0,2,0,1.0
0,0.2113361954689026,53,0,33.243709564208984,nan,7,0,1,0,0.0
0,0.016510987654328346,36,2,0.3103896975517273,"(4126.0, 4500.0]",6,0,0,0,0.0
0,0.6957216262817383,35,0,0.42991793155670166,"(3000.0, 3454.5]",3,0,1,0,4.0
1,0.04109540209174156,39,0,0.5419795513153076,"(5827.5, 6250.0]",9,0,2,0,0.0
0,0.7375171780586243,68,0,0.36758530139923096,"(6864.0, 7500.0]",13,0,1,0,1.0
0,0.31712105870246887,39,0,1549.17919921875,nan,4,0,1,0,0.0
0,0.1279023289680481,50,0,569.3248901367188,nan,5,0,2,0,0.0
0,0.004398399963974953,63,0,0.34055444598197937,"(2550.0, 3000.0]",5,1,2,0,0.0
0,0.3357935845851898,50,0,0.29328927397727966,"(4500.0, 5000.0]",4,0,1,0,3.0
0,0.0881490483880043,62,0,0.28955402970314026,"(10016.0, 11600.0]",9,0,2,0,0.0
0,0.06899020820856094,44,0,0.5611039996147156,"(2550.0, 3000.0]",6,0,2,0,0.0
0,0.007118447683751583,56,0,0.5417159795761108,nan,5,0,0,0,2.0
0,0.1113966628909111,60,0,1395.0125732421875,nan,10,0,1,1,0.0
0,0.37940120697021484,56,0,990.3687744140625,nan,7,0,2,0,0.0
0,0.4093581736087799,61,1,0.435452938079834,nan,3,0,0,0,0.0
0,0.04212428629398346,56,0,0.6645915508270264,"(2550.0, 3000.0]",16,0,2,0,1.0
0,0.07056485861539841,62,0,0.47974857687950134,nan,2,0,0,0,0.0
0,0.34214112162590027,35,0,0.17945823073387146,"(5827.5, 6250.0]",9,0,0,0,2.0
0,0.0,48,0,0.418535053730011,"(6250.0, 6864.0]",11,0,4,0,2.0
0,0.13388517498970032,39,1,876.2680053710938,nan,5,0,0,0,2.0
0,0.08510980010032654,56,0,0.22488488256931305,"(7500.0, 8167.5]",7,0,1,0,0.0
0,0.07739389687776566,58,0,0.3521980047225952,"(5827.5, 6250.0]",5,0,0,0,1.0
0,0.26543349027633667,64,0,1.0355758666992188,nan,9,0,1,0,4.0
0,0.9910018444061279,45,0,0.3454541862010956,"(8167.5, 9020.0]",8,0,1,0,3.0
0,0.1011415645480156,49,0,0.2209538221359253,"(9020.0, 10016.0]",9,0,1,0,0.0
0,0.02431626431643963,58,0,0.1307763159275055,"(3000.0, 3454.5]",9,0,0,0,1.0
